Día;Comisión 2;Comisión 3;Comisión 4;Comisión 5
23/02/2025;1189738606479298672;734949615203254322;758442754622881803;857011490421997579
24/02/2025;1189738606479298672;433468838064160769;933746686168293396;280874718536531978
25/02/2025;1189738606479298672;399304211252117507;266760057083920385;1243746421623226402
26/02/2025;1189738606479298672;465589940005371904;362918123088904193;238493948702621696
27/02/2025;1189738606479298672;1189738606479298672;567898882680553501;1197727449161674784
28/02/2025;758442754622881803;738862936701010021;335919640402460672;527645455514075137
